ID,ideology,leadership,name,party,description,introduced_bills_118,cosponsored_bills_118,unique_cosponsors_118,total_cosponsors_118
412631,0.5973368801857664,0.6477612446320915,Graves [LA6],Republican,moderate Republican leader,24,158,353,470
407672,0.20828387968647785,0.3669131892023627,Mfume,Democrat,rank-and-file Democrat,14,317,121,323
456811,0.15654420411507247,0.8772030663612697,Williams [GA5],Democrat,progressive Democratic leader,46,680,224,1567
456841,0.6786649995024916,0.4313974371563586,Bice,Republican,rank-and-file Republican,26,295,172,285
456844,0.7712743877043144,0.465397906944074,Harshbarger,Republican,conservative Republican,24,324,180,282
456816,0.7197948052348322,0.6735274530651628,Hinson,Republican,moderate Republican leader,33,322,205,383
456823,0.7937200203461346,0.5948222353629572,Mann,Republican,conservative Republican,23,410,219,545
412720,0.8086134956531387,0.7174112579681116,Tenney,Republican,conservative Republican leader,74,548,311,793
456810,0.6174554138464732,0.8148690827078101,Salazar,Republican,moderate Republican leader,32,453,372,907
456839,0.10636509320574111,0.5297517918542961,Bowman,Democrat,progressive Democrat,13,518,163,479
456806,0.7357417952450591,0.584953281925502,Cammack,Republican,rank-and-file Republican,23,274,256,405
456828,0.6432873444782705,0.45550797234137397,Fischbach,Republican,rank-and-file Republican,23,170,158,366
456859,0.5980312877846025,0.4094784316403714,Letlow,Republican,rank-and-file Republican,7,159,162,179
456847,0.8301972717040985,0.5228972022530486,Jackson [TX13],Republican,conservative Republican,27,344,184,452
456842,0.5635670776968424,0.07761837821594002,Bentz,Republican,moderate Republican follower,6,116,16,17
456799,0.669999086157096,0.14992253937642977,Carl,Republican,moderate Republican follower,7,225,35,43
456813,0.6544400676862908,0.6419175292747892,Clyde,Republican,moderate Republican leader,15,186,203,843
456808,0.8670443234306704,0.44901668473500955,Donalds,Republican,conservative Republican,80,617,159,389
456809,0.6549955673743177,0.3077051227751457,Gimenez,Republican,rank-and-file Republican,21,299,59,107
456824,0.6708615967024426,0.2253348983037131,LaTurner,Republican,moderate Republican follower,13,229,80,104
456846,0.7205165730001086,0.7230050593314432,Pfluger,Republican,moderate Republican leader,60,304,278,872
456804,0.18343516476825747,0.5672825820237208,Jacobs,Democrat,rank-and-file Democrat,25,440,201,566
456838,0.22214023114640055,0.4870990012236381,Torres [NY15],Democrat,rank-and-file Democrat,59,398,143,297
456863,0.21876157042365574,0.3409476786533041,Brown,Democrat,rank-and-file Democrat,11,393,134,337
456864,0.6006480734763896,0.3442222700557946,Carey,Republican,rank-and-file Republican,29,260,166,257
456860,0.24917282604796037,0.24659892069959324,Carter [LA2],Democrat,moderate Democratic follower,25,588,86,191
456862,0.692455267484985,0.07207844448787154,Ellzey,Republican,moderate Republican follower,3,261,4,4
